model,method,has_negative,negative_mass
LLaVA-1.5,VASE,True,0.49502474069595337
LLaVA-1.5,VASE,True,0.49947819113731384
LLaVA-1.5,VASE,True,0.4736112356185913
LLaVA-1.5,VASE,True,0.4983905553817749
LLaVA-1.5,VASE,True,0.4996463656425476
LLaVA-1.5,VASE,True,0.49962863326072693
LLaVA-1.5,VASE,True,0.49679070711135864
LLaVA-1.5,VASE,True,0.49999868869781494
LLaVA-1.5,VASE,True,0.4999725818634033
LLaVA-1.5,VASE,True,0.4333309829235077
LLaVA-1.5,VASE,True,0.4958750605583191
LLaVA-1.5,VASE,True,0.4541110396385193
LLaVA-1.5,VASE,True,0.4999992847442627
LLaVA-1.5,VASE,True,0.49549829959869385
LLaVA-1.5,VASE,True,0.4730692207813263
LLaVA-1.5,VASE,True,0.49993282556533813
LLaVA-1.5,VASE,True,0.49806317687034607
LLaVA-1.5,VASE,True,0.4995613396167755
LLaVA-1.5,VASE,True,0.49999791383743286
LLaVA-1.5,VASE,True,0.5000027418136597
LLaVA-1.5,VASE,True,0.4928489327430725
LLaVA-1.5,VASE,True,0.49806270003318787
LLaVA-1.5,VASE,True,0.47427377104759216
LLaVA-1.5,VASE,True,0.5000019073486328
LLaVA-1.5,VASE,True,0.4999995529651642
LLaVA-1.5,VASE,True,0.49796104431152344
LLaVA-1.5,VASE,True,0.49008092284202576
LLaVA-1.5,VASE,True,0.5000006556510925
LLaVA-1.5,VASE,True,0.49846988916397095
LLaVA-1.5,VASE,True,0.49987244606018066
LLaVA-1.5,VASE,True,0.47670772671699524
LLaVA-1.5,VASE,True,0.49999916553497314
LLaVA-1.5,VASE,True,0.49059662222862244
LLaVA-1.5,VASE,True,0.4992356300354004
LLaVA-1.5,VASE,True,0.49855875968933105
LLaVA-1.5,VASE,True,0.4999983310699463
LLaVA-1.5,VASE,True,0.4999995827674866
LLaVA-1.5,VASE,True,0.4991966187953949
LLaVA-1.5,VASE,True,0.49997052550315857
LLaVA-1.5,VASE,True,0.4999048113822937
LLaVA-1.5,VASE,True,0.4998685419559479
LLaVA-1.5,VASE,True,0.5000019073486328
LLaVA-1.5,VASE,True,0.4999020993709564
LLaVA-1.5,VASE,True,0.4985535442829132
LLaVA-1.5,VASE,True,0.41223007440567017
LLaVA-1.5,VASE,True,0.4769859313964844
LLaVA-1.5,VASE,True,0.49999406933784485
LLaVA-1.5,VASE,True,0.4999970495700836
LLaVA-1.5,VASE,True,0.49755793809890747
LLaVA-1.5,VASE,True,0.4953031539916992
LLaVA-1.5,VASE,True,0.49801838397979736
LLaVA-1.5,VASE,True,0.49999111890792847
LLaVA-1.5,VASE,True,0.4983772933483124
LLaVA-1.5,VASE,True,0.49929192662239075
LLaVA-1.5,VASE,True,0.4983955919742584
LLaVA-1.5,VASE,True,0.5000013113021851
LLaVA-1.5,VASE,True,0.5000022649765015
LLaVA-1.5,VASE,True,0.4996776580810547
LLaVA-1.5,VASE,True,0.49671390652656555
LLaVA-1.5,VASE,True,0.3958064913749695
LLaVA-1.5,VASE,True,0.49997010827064514
LLaVA-1.5,VASE,True,0.4993721842765808
LLaVA-1.5,VASE,True,0.5000028014183044
LLaVA-1.5,VASE,True,0.49965900182724
LLaVA-1.5,VASE,True,0.49993613362312317
LLaVA-1.5,VASE,True,0.49914121627807617
LLaVA-1.5,VASE,True,0.4999738335609436
LLaVA-1.5,VASE,True,0.499911367893219
LLaVA-1.5,VASE,True,0.4709075689315796
LLaVA-1.5,VASE,True,0.4840119183063507
LLaVA-1.5,VASE,True,0.49999964237213135
LLaVA-1.5,VASE,True,0.42697352170944214
LLaVA-1.5,VASE,True,0.48667004704475403
LLaVA-1.5,VASE,True,0.49999111890792847
LLaVA-1.5,VASE,True,0.499995619058609
LLaVA-1.5,VASE,True,0.4957858920097351
